civilite;prenom;nom;dateNaissance;identifiantRole;identifiant;motPasse
Mr;Nicolas;Gruber;20/10/1992;Administrateur;nicolas.gruber@gmail.com;passw0rd
Mr;Jerome;Cantin;22/10/1990;Administrateur;admin@gmail.com;passw0rd
Mr;Kamel;Petit;20/10/1990;Administrateur;kamel.petit@gmail.com;passw0rd
Mr;Eric;Lalitte;20/11/1990;Directeur;eric.lallite@gmail.com;passw0rd
Mr;Laurent;Bordet;20/10/1990;Directeur;laurent.bordet@gmail.com;passw0rd
Mr;Jimmy;Petit;20/10/1990;Directeur;jimmy.petit@gmail.com;passw0rd
Mr;Nicolas;Petit;20/10/1990;Standard;nicolas.petit@gmail.com;passw0rd
Mr;Paul;Gilbert;20/10/1990;Standard;paul.gilbert@gmail.com;passw0rd
Mr;Xavier;Dupont;20/10/1990;Standard;xavier.dupont@gmail.com;passw0rd
Mr;Thierry;Marec;20/10/1990;Standard;thierry.marec@gmail.com;passw0rd
Mme;Aurelie;Cassas;20/10/1990;Standard;aurelie.cassas@gmail.com;passw0rd
Mr;Alain;Cassas;20/10/1990;Standard;alain.cassas@gmail.com;passw0rd
Mr;Julien;Bille;20/10/1990;Standard;julien.bille@gmail.com;passw0rd
Mr;Nicolas;Berger;20/10/1990;Acheteur;nicolas.berger@gmail.com;passw0rd
Mr;Thomas;corgnet;20/10/1990;Acheteur;thomas.corgnet@gmail.com;passw0rd
Mr;Harry;Cover;20/10/1990;Acheteur;harry.cover@gmail.com;passw0rd
Mr;Mathieu;Ducamp;20/10/1990;Acheteur;mathieu.ducamp@gmail.com;passw0rd
Mr;Serge;Lama;20/10/1990;Acheteur;serge.lama@gmail.com;passw0rd
Mme;Mathilde;Leduc;20/10/1990;Acheteur;doudou.leduc@gmail.com;passw0rd
Mr;André;Naline;20/10/1990;Acheteur;andré.aline@gmail.com;passw0rd
